TAHUN;UMR;INFLASI;JUMLAH PENDUDUK;ANGKATAN KERJA;BEKERJA;PENGANGGURAN;PERTUMBUHAN EKONOMI
1997;135000;11.10%;204.000.000;89.230.978;85.047.007;4.183.971;6.5%
1998;150900; 77.60%;207.000.000;92.337.801;87.292.541;5.045.260;0
1999;175400; 2.00%;211.000.000;94.847.178;88.816.859;6.030.319;0.79%
2000;216500;9.40%;214.000.000;95.650.961;89.837.730;5.813.231;3.6%
2001;290500;12.55%;217.000.000;98.812.448;90.807.417;8.005.031;4.9%
2002;362700;10.03%;220.000.000;100.779.270;91.647.166;9.132.104;4.5%
2003;414700;5.16%;223.000.000;102.750.092;92.810.791;9.939.301;5.0%
2004;458500;6.40%;225.000.000;103.973.387;93.722.036;10.251.351;5.6%
2005;507697;17.11%;228.000.000;105.857.653;93.958.387;11.899.266;6.1%
2006;602702;6.60%;231.000.000;106.388.935;95.456.935;10.932.000;5.5$
2007;672480;6.59%;234.000.000;109.941.359;99.930.217;10.011.142;6.9%
2008;745709;11.06%;237.000.000;111.947.265;102.552.750;9.394.515;6.8%
2009;841530;2.78%;241.000.000;113.833.280;104.870.663;8.962.617;4.5%
2010;908824;6.96%;244.000.000;116.527.546;108.207.767;8.319.779;6.1%
2011;988829;3.79%;247.000.000;116.097.701;107.416.309;8.681.392;6.5%
2012;1088903;4.30%;250.000.000;119.849.734;112.504.868;7.344.866;6.23%
2013;1550000;8.38%;253.000.000;120.172.003;112.761.072;7.410.931;5.56%
2014;1584391;8.36%;256.000.000;121.872.931;114.628.026;7.244.905;5.02%
2015;1790342;3.35%;259.000.000;122.380.021;114.819.199;7.560.822;4.88%
2016;1997819;3.02%;261.000.000;125.443.748;118.411.973;7.031.775;5.03%
2017;2020500;3.61%;264.000.000;128.062.746;121.022.423;7.040.323;5.07%
2018;2268874;3.13%;267.000.000;133.940.000;127.070.000;6.870.000;5.17%
2019;2455662;2.72%;269.000.000;136.018.000;129.936.000;6.082.000;5.02%
2020;2672371;1.42%;271.000.000;138.022.000;128.945.000;9.077.000;0
2021;2608093;1.87%;273.000.000;140.015.000;131.005.000;9.010.000;3.07%
2022;2644709;4.84%;275.000.000;147.032.000;138.030.000;8.007.000;5.31%
